61 60
          ###
          #.#
          #.#
          #.#
          #.#                             ##########
          #.#                             #........#
          #.#                             #........#
     ######.###                           #........##
     #........#############################....s....#
     #..............................................#
     #........#####################################.#
 #####........#..........#                        #.#
 #.......................##                       #.#
 #.###.........s..........#                       #.#
 #.# #...............s....####################### #.#
 #.# ######.##............##....................# #.#
 #.#      #.##............##....................# #.#
 #.#      #.##..................................# #.#
 #.#      #.##............##....................# #.#
 #.#      #.##............##.........@..........# #.#
 #.#      #.##............##....................# #.#
 #.#      #.##.#.######.#.##....................# #.#
 #.#      #.##.#.###  #.#.##....................# #.#
 #.#      #.##.....####.#.##....................# #.#
 #.#      #.##..................K...A...W..###### #.#
 #.#      #.##.#......#.#.############......#     #.#
 #.#      #.##.#......#.#.#          #......#     #.#
 #.########.##.#......#.#.#          #......#     #.#
 #.#...........#......#.#.#          #......#     #.#
 #.#...........#......#.#.############......#######.#
 #.#...........#......#.#.........................#.#
 #.#...........#......#.##############.####.##......#
 #.#...........########.#            #.#  #.##......#
 #.#...........########.##############.####.##......#
 #.#................................................########
 #.#...........######.........########.####................#
 #.##########.......#.........#      #.#  #.........#......#
 #.#        #.......#.........#      #.#  ####.....##......#
 #.#        #.......#.........#      #.#     #.....##......#
 #.#        #.......#.........#      #.#     #.....##......#
 #.#        #.......#.........#      #.#     #.....##......#
 #.#        #.......#.........#      #.#     ########......#
 #.#        #.......#.........# ######.#            ########
 #.#        #.......##.######## #......#
 #.#        #.#####.##.#        #......#
 #.#        #.#   #.##.##########......#
 #.#        #.#   #.##.................#
 #.#        #.#####.#############......#
 #.#        #..........................###
 #.#        #............................#
 #.#        ##........#############......#
 #.#         #........#           #......#
 #.#         #........#           #......#
 #.#         ##########           #......#
 #.#                              #......#
 #.#                              #......#
 #.#                              ########
 #.#
 #.#
 #.#
 ###
